Path,Name,"Default Culture",Comment,"en",Comment
Compiler/Lang/Resources,AboutProgramItemHeader,"About program",,,
Compiler/Lang/Resources,AnalysisMethodMenuItemHeader,"Analysis method",,,
Compiler/Lang/Resources,BibliographyMenuItemHeader,"Bibliography",,,
Compiler/Lang/Resources,CallDocsItemHeader,"Call docs",,,
Compiler/Lang/Resources,CopyMenuItemHeader,"Copy",,,
Compiler/Lang/Resources,CreateMenuItemHeader,"Create",,,
Compiler/Lang/Resources,CutMenuItemHeader,"Cut",,,
Compiler/Lang/Resources,DecreaseTextSizeMenuItemHeader,"Decrease",,,
Compiler/Lang/Resources,DeleteMenuItemHeader,"Delete",,,
Compiler/Lang/Resources,DiagnosticNeutralizationMenuItemHeader,"Diagnostic and neutralization of errors",,,
Compiler/Lang/Resources,DocsItemHeader,"Docs",,,
Compiler/Lang/Resources,EditMenuItemHeader,"Edit",,,
Compiler/Lang/Resources,ExitMenuItemHeader,"Exit",,,
Compiler/Lang/Resources,FileMenuItemHeader,"File",,,
Compiler/Lang/Resources,GrammarClassificationMenuItemHeader,"Classification of grammar",,,
Compiler/Lang/Resources,GrammarMenuItemHeader,"Grammar",,,
Compiler/Lang/Resources,IncreaseTextSizeMenuItemHeader,"Increase",,,
Compiler/Lang/Resources,OpenMenuItemHeader,"Create",,,
Compiler/Lang/Resources,PasteMenuItemHeader,"Paste",,,
Compiler/Lang/Resources,ProblemFormulationMenuItemHeader,"Formulation of problem",,,
Compiler/Lang/Resources,RedoMenuItemHeader,"Undo",,,
Compiler/Lang/Resources,RunMenuItemHeader,"Run",,,
Compiler/Lang/Resources,SaveAsMenuItemHeader,"Create",,,
Compiler/Lang/Resources,SaveMenuItemHeader,"Create",,,
Compiler/Lang/Resources,SelectAllMenuItemHeader,"Select all",,,
Compiler/Lang/Resources,SourceCodeMenuItemHeader,"Source code",,,
Compiler/Lang/Resources,TextExampleMenuItemHeader,"Text example",,,
Compiler/Lang/Resources,TextMenuItemHeader,"Text",,,
Compiler/Lang/Resources,TextSizeMenuItemHeader,"Text Size",,,
Compiler/Lang/Resources,UndoMenuItemHeader,"Undo",,,
